impd,occ,temp,wind,doy
crsl,1,29.44444444,4.506152,161
crsl,2,30,4.506152,166
crsl,3,26.66666667,10.138842,180
crsl,4,29.44444444,5.793624,188
crsl,5,26.11111111,9.334172,194
crsl,6,26.11111111,3.701482,202
crsl,7,28.88888889,7.24203,215
crsl,8,28.33333333,6.43736,228
crsl,9,30,16.0934,235
gesl,1,26.66666667,3.540548,166
gesl,2,24.44444444,21.243288,174
gesl,3,26.66666667,4.82802,181
gesl,4,27.22222222,10.138842,188
gesl,5,27.22222222,9.816974,203
gesl,6,28.33333333,7.724832,209
gesl,7,27.77777778,9.334172,221
gesl,8,27.22222222,8.368568,229
gesl,9,27.77777778,16.737136,237
lvsl,1,27.77777778,7.081096,160
lvsl,2,29.44444444,14.48406,168
lvsl,3,26.11111111,24.94477,174
lvsl,4,26.66666667,3.701482,197
lvsl,5,29.44444444,14.001258,204
lvsl,6,31.11111111,13.035654,211
lvsl,7,28.33333333,15.932466,225
lvsl,8,28.33333333,12.87472,230
lvsl,9,30,14.162192,238
mcla,1,30,18.024608,162
mcla,2,26.66666667,18.346476,173
mcla,3,25,11.26538,182
mcla,4,26.11111111,12.87472,194
mcla,5,27.22222222,8.207634,201
mcla,6,30.55555556,8.690436,208
mcla,7,27.77777778,21.082354,222
mcla,8,28.88888889,19.955816,236
mcla,9,27.77777778,22.53076,245
mgsl,1,27.22222222,4.02335,159
mgsl,2,30,4.02335,165
mgsl,3,27.77777778,12.230984,173
mgsl,4,30,5.63269,187
mgsl,5,26.66666667,9.495106,193
mgsl,6,26.11111111,9.816974,201
mgsl,7,30,9.816974,214
mgsl,8,28.88888889,18.990212,224
mgsl,9,29.44444444,12.713786,229
nosl,1,27.77777778,4.184284,160
nosl,2,31.11111111,3.21868,165
nosl,3,27.22222222,10.943512,173
nosl,4,30.55555556,4.506152,187
nosl,5,26.11111111,9.012304,193
nosl,6,26.11111111,9.012304,201
nosl,7,29.44444444,3.862416,214
nosl,8,28.88888889,21.082354,224
nosl,9,29.44444444,10.299776,229
sgca,1,25.55555556,10.46071,159
sgca,2,29.44444444,7.885766,165
sgca,3,26.11111111,22.53076,173
sgca,4,27.77777778,10.138842,187
sgca,5,25.55555556,11.587248,193
sgca,6,26.66666667,10.621644,201
sgca,7,27.77777778,11.587248,216
sgca,8,27.77777778,21.887024,224
sgca,9,27.77777778,17.059004,231
wlsl,1,30,20.11675,162
wlsl,2,30.55555556,13.67939,168
wlsl,3,25,8.529502,183
wlsl,4,28.33333333,6.759228,189
wlsl,5,25.55555556,10.138842,200
wlsl,6,29.44444444,6.598294,208
wlsl,7,27.22222222,6.276426,216
wlsl,8,28.33333333,14.966862,225
wlsl,9,28.88888889,10.299776,230
