impd,site,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,ha,temp1,temp2,temp3,temp4,temp5,temp6,temp7,temp8,temp9,wind1,wind2,wind3,wind4,wind5,wind6,wind7,wind8,wind9,doy1,doy2,doy3,doy4,doy5,doy6,doy7,doy8,doy9
crsl,1,0,0,0,0,0,1,0,0,0,61,29.44444444,30,26.66666667,29.44444444,26.11111111,26.11111111,28.88888889,28.33333333,30,4.506152,4.506152,10.138842,5.793624,9.334172,3.701482,7.24203,6.43736,16.0934,161,166,180,188,194,202,215,228,235
crsl,2,3,1,2,0,0,0,0,1,0,61,29.44444444,30,26.66666667,29.44444444,26.11111111,26.11111111,28.88888889,28.33333333,30,4.506152,4.506152,10.138842,5.793624,9.334172,3.701482,7.24203,6.43736,16.0934,161,166,180,188,194,202,215,228,235
crsl,3,1,0,0,0,0,0,1,1,1,61,29.44444444,30,26.66666667,29.44444444,26.11111111,26.11111111,28.88888889,28.33333333,30,4.506152,4.506152,10.138842,5.793624,9.334172,3.701482,7.24203,6.43736,16.0934,161,166,180,188,194,202,215,228,235
crsl,4,2,1,2,4,2,1,3,2,2,61,29.44444444,30,26.66666667,29.44444444,26.11111111,26.11111111,28.88888889,28.33333333,30,4.506152,4.506152,10.138842,5.793624,9.334172,3.701482,7.24203,6.43736,16.0934,161,166,180,188,194,202,215,228,235
crsl,5,0,2,0,1,0,0,1,0,1,61,29.44444444,30,26.66666667,29.44444444,26.11111111,26.11111111,28.88888889,28.33333333,30,4.506152,4.506152,10.138842,5.793624,9.334172,3.701482,7.24203,6.43736,16.0934,161,166,180,188,194,202,215,228,235
crsl,6,1,1,2,2,1,0,0,3,0,61,29.44444444,30,26.66666667,29.44444444,26.11111111,26.11111111,28.88888889,28.33333333,30,4.506152,4.506152,10.138842,5.793624,9.334172,3.701482,7.24203,6.43736,16.0934,161,166,180,188,194,202,215,228,235
crsl,7,1,2,0,0,0,0,5,0,0,61,29.44444444,30,26.66666667,29.44444444,26.11111111,26.11111111,28.88888889,28.33333333,30,4.506152,4.506152,10.138842,5.793624,9.334172,3.701482,7.24203,6.43736,16.0934,161,166,180,188,194,202,215,228,235
crsl,8,4,6,3,6,2,4,0,1,1,61,29.44444444,30,26.66666667,29.44444444,26.11111111,26.11111111,28.88888889,28.33333333,30,4.506152,4.506152,10.138842,5.793624,9.334172,3.701482,7.24203,6.43736,16.0934,161,166,180,188,194,202,215,228,235
crsl,9,4,1,0,0,4,4,3,2,2,61,29.44444444,30,26.66666667,29.44444444,26.11111111,26.11111111,28.88888889,28.33333333,30,4.506152,4.506152,10.138842,5.793624,9.334172,3.701482,7.24203,6.43736,16.0934,161,166,180,188,194,202,215,228,235
crsl,10,3,3,0,0,0,0,0,0,1,61,29.44444444,30,26.66666667,29.44444444,26.11111111,26.11111111,28.88888889,28.33333333,30,4.506152,4.506152,10.138842,5.793624,9.334172,3.701482,7.24203,6.43736,16.0934,161,166,180,188,194,202,215,228,235
crsl,11,3,1,2,1,2,1,5,0,1,61,29.44444444,30,26.66666667,29.44444444,26.11111111,26.11111111,28.88888889,28.33333333,30,4.506152,4.506152,10.138842,5.793624,9.334172,3.701482,7.24203,6.43736,16.0934,161,166,180,188,194,202,215,228,235
gesl,1,7,1,2,0,1,3,1,1,2,39,26.66666667,24.44444444,26.66666667,27.22222222,27.22222222,28.33333333,27.77777778,27.22222222,27.77777778,3.540548,21.243288,4.82802,10.138842,9.816974,7.724832,9.334172,8.368568,16.737136,166,174,181,188,203,209,221,229,237
